date	cot	min	max	var	pvar	vol
30/12/2015	18,93	18,57	19,00	0,07	0,37	1.125.300
29/12/2015	18,86	18,71	19,18	-0,14	-0,74	774.100
28/12/2015	19,00	18,94	19,40	-0,30	-1,55	818.800
23/12/2015	19,30	18,28	19,62	1,27	7,04	1.445.500
22/12/2015	18,03	17,80	18,33	0,03	0,17	1.302.600
21/12/2015	18,00	17,36	18,00	0,40	2,27	1.372.900
18/12/2015	17,60	17,31	17,87	-0,64	-3,51	2.310.700
17/12/2015	18,24	17,88	18,37	0,42	2,36	1.769.000
16/12/2015	17,82	17,38	17,82	-0,07	-0,39	898.600
15/12/2015	17,89	17,52	18,06	0,29	1,65	1.930.300
14/12/2015	17,60	17,29	18,10	-0,41	-2,28	2.337.700
11/12/2015	18,01	17,79	18,50	-0,32	-1,75	2.054.000
10/12/2015	18,33	18,32	19,20	-0,65	-3,42	1.087.100
9/12/2015	18,98	18,48	19,50	0,58	3,15	1.763.400
8/12/2015	18,40	17,86	18,42	0,15	0,82	1.481.800
7/12/2015	18,25	18,04	18,80	-0,31	-1,67	1.547.900
4/12/2015	18,56	18,30	19,46	-0,76	-3,93	1.675.500
3/12/2015	19,32	18,83	19,51	0,52	2,77	1.240.500
2/12/2015	18,80	18,34	19,17	0,20	1,08	873.700
1/12/2015	18,60	18,48	19,16	-0,32	-1,69	839.900
30/11/2015	18,92	18,26	19,15	0,21	1,12	2.307.100
27/11/2015	18,71	18,27	19,23	-0,54	-2,81	989.400
26/11/2015	19,25	18,62	19,27	0,26	1,37	660.000
25/11/2015	18,99	18,82	19,63	-0,93	-4,67	1.570.400
24/11/2015	19,92	19,35	20,77	-0,37	-1,82	1.158.900
23/11/2015	20,29	19,67	20,57	1,07	5,57	1.823.300
19/11/2015	19,22	18,72	19,37	0,55	2,95	1.053.100
18/11/2015	18,67	18,38	18,94	0,08	0,43	971.300
17/11/2015	18,59	18,15	18,78	0,26	1,42	894.800
16/11/2015	18,33	18,03	18,86	0,05	0,27	1.606.600
13/11/2015	18,28	17,63	18,50	0,34	1,90	1.328.800
12/11/2015	17,94	17,73	18,74	-0,05	-0,28	585.200
11/11/2015	17,99	17,85	18,38	0,26	1,47	713.200
10/11/2015	17,73	17,22	17,92	-0,32	-1,77	783.900
9/11/2015	18,05	17,68	18,44	-0,21	-1,15	852.800
6/11/2015	18,26	17,77	18,53	-0,14	-0,76	868.000
5/11/2015	18,40	17,75	18,75	0,25	1,38	826.100
4/11/2015	18,15	17,84	18,50	0,50	2,83	1.977.500
3/11/2015	17,65	16,95	17,94	0,91	5,44	1.692.900
30/10/2015	16,74	16,29	17,15	0,29	1,76	1.131.000
29/10/2015	16,45	16,05	16,72	0,03	0,18	1.150.400
28/10/2015	16,42	16,25	17,14	-0,48	-2,84	1.275.000
27/10/2015	16,90	16,60	17,12	-0,10	-0,59	1.153.800
26/10/2015	17,00	16,75	17,71	-0,51	-2,91	775.000
23/10/2015	17,51	17,50	18,23	0,01	0,06	1.205.400
22/10/2015	17,50	17,12	17,90	0,38	2,22	1.378.300
21/10/2015	17,12	17,09	18,08	-0,93	-5,15	1.222.900
20/10/2015	18,05	17,34	18,15	0,61	3,50	990.200
19/10/2015	17,44	16,68	17,65	0,44	2,59	904.200
16/10/2015	17,00	16,70	17,45	-0,04	-0,23	2.162.200
15/10/2015	17,04	16,74	17,48	-0,21	-1,22	998.800
14/10/2015	17,25	16,93	17,67	-0,25	-1,43	2.839.200
13/10/2015	17,50	17,12	17,74	0,00	0,00	694.400
9/10/2015	17,50	16,97	18,00	-0,22	-1,24	1.353.600
8/10/2015	17,72	17,11	17,72	0,37	2,13	1.037.900
7/10/2015	17,35	16,93	17,60	0,37	2,18	847.200
6/10/2015	16,98	16,80	17,28	-0,22	-1,28	981.500
5/10/2015	17,20	16,82	17,37	0,17	1,00	1.118.500
2/10/2015	17,03	15,77	17,03	1,03	6,44	2.060.100
1/10/2015	16,00	15,55	16,23	0,16	1,01	1.784.800
30/09/2015	15,84	15,46	16,20	0,64	4,21	2.777.800
29/09/2015	15,20	14,82	15,31	0,20	1,33	1.158.100
28/09/2015	15,00	14,68	15,45	-0,40	-2,60	1.189.000
25/09/2015	15,40	14,97	15,69	0,20	1,32	1.482.800
24/09/2015	15,20	14,78	15,35	-0,45	-2,88	1.585.000
23/09/2015	15,65	15,48	16,20	-0,35	-2,19	1.942.700
22/09/2015	16,00	15,42	16,00	-0,08	-0,50	1.461.800
21/09/2015	16,08	16,08	16,63	-0,42	-2,55	1.699.000
