date	quo	min	max	var	pvar	vol
30/12/2015	18.93	18.57	19.00	0.07	0.37	1125300
29/12/2015	18.86	18.71	19.18	-0.14	-0.74	774100
28/12/2015	19.00	18.94	19.40	-0.30	-1.55	818800
23/12/2015	19.30	18.28	19.62	1.27	7.04	1445500
22/12/2015	18.03	17.80	18.33	0.03	0.17	1302600
21/12/2015	18.00	17.36	18.00	0.40	2.27	1372900
18/12/2015	17.60	17.31	17.87	-0.64	-3.51	2310700
17/12/2015	18.24	17.88	18.37	0.42	2.36	1769000
16/12/2015	17.82	17.38	17.82	-0.07	-0.39	898600
15/12/2015	17.89	17.52	18.06	0.29	1.65	1930300
14/12/2015	17.60	17.29	18.10	-0.41	-2.28	2337700
11/12/2015	18.01	17.79	18.50	-0.32	-1.75	2054000
10/12/2015	18.33	18.32	19.20	-0.65	-3.42	1087100
9/12/2015	18.98	18.48	19.50	0.58	3.15	1763400
8/12/2015	18.40	17.86	18.42	0.15	0.82	1481800
7/12/2015	18.25	18.04	18.80	-0.31	-1.67	1547900
4/12/2015	18.56	18.30	19.46	-0.76	-3.93	1675500
3/12/2015	19.32	18.83	19.51	0.52	2.77	1240500
2/12/2015	18.80	18.34	19.17	0.20	1.08	873700
1/12/2015	18.60	18.48	19.16	-0.32	-1.69	839900
30/11/2015	18.92	18.26	19.15	0.21	1.12	2307100
27/11/2015	18.71	18.27	19.23	-0.54	-2.81	989400
26/11/2015	19.25	18.62	19.27	0.26	1.37	660000
25/11/2015	18.99	18.82	19.63	-0.93	-4.67	1570400
24/11/2015	19.92	19.35	20.77	-0.37	-1.82	1158900
23/11/2015	20.29	19.67	20.57	1.07	5.57	1823300
19/11/2015	19.22	18.72	19.37	0.55	2.95	1053100
18/11/2015	18.67	18.38	18.94	0.08	0.43	971300
17/11/2015	18.59	18.15	18.78	0.26	1.42	894800
16/11/2015	18.33	18.03	18.86	0.05	0.27	1606600
13/11/2015	18.28	17.63	18.50	0.34	1.90	1328800
12/11/2015	17.94	17.73	18.74	-0.05	-0.28	585200
11/11/2015	17.99	17.85	18.38	0.26	1.47	713200
10/11/2015	17.73	17.22	17.92	-0.32	-1.77	783900
9/11/2015	18.05	17.68	18.44	-0.21	-1.15	852800
6/11/2015	18.26	17.77	18.53	-0.14	-0.76	868000
5/11/2015	18.40	17.75	18.75	0.25	1.38	826100
4/11/2015	18.15	17.84	18.50	0.50	2.83	1977500
3/11/2015	17.65	16.95	17.94	0.91	5.44	1692900
30/10/2015	16.74	16.29	17.15	0.29	1.76	1131000
29/10/2015	16.45	16.05	16.72	0.03	0.18	1150400
28/10/2015	16.42	16.25	17.14	-0.48	-2.84	1275000
27/10/2015	16.90	16.60	17.12	-0.10	-0.59	1153800
26/10/2015	17.00	16.75	17.71	-0.51	-2.91	775000
23/10/2015	17.51	17.50	18.23	0.01	0.06	1205400
22/10/2015	17.50	17.12	17.90	0.38	2.22	1378300
21/10/2015	17.12	17.09	18.08	-0.93	-5.15	1222900
20/10/2015	18.05	17.34	18.15	0.61	3.50	990200
19/10/2015	17.44	16.68	17.65	0.44	2.59	904200
16/10/2015	17.00	16.70	17.45	-0.04	-0.23	2162200
